id,review
tiki-14239816,Sách không được bọc. Bìa bị lem nhẹ
tiki-15477328,"sách nội nhưng hay nhưng gáy sách làm rất giống sách giả, đọc vài trang đã bung gáy như thế này"
tiki-19069431,Bọc book_care để không móp góc cuối cùng vẫn móp và hằn thêm vết book_care Mấy cuốn trước không sao lần này lại dính trang với nhau lấy ra thích ráchemoji_upside_down_face
vlsp2016-05644,Bạn nói đúng . Tôi đang dùng mà . Rất tiẹn
tiki-14787876,Chất lượng sản phẩm tốt đóng gói sản phẩm cẩn thận giao hàng nhanh
tiki-5181028,"sách không gãy, không bẩn, bookmark có, chỉ là chất lượng giấy không tốt,vì có cảm giác nhám"
tiki-19687440,"Sách viết ra chỉ để bán, cấu trúc và nội dung sơ sài, không hiểu khái niệm, lạc đề. Chưa từng đọc 1 cuốn MBA nào tệ như thế này."
tiki-1482862,"Cuốn sách này hay ở một số khía cạnh về giáo dục con trẻ tự lập, kiếm tiền và phụ giúp gia đình từ nhỏ. Kỹ năng sinh tồn là thứ cần thiết đối với một đứa trẻ và cần cho con phát triển tự nhiên. Tuy nhiên, sách dày vì nội dung lặp lại nhiều lần tạo ra nhàm chán và phân tán sự thu hút. Nếu viết cô đọng, mình nghĩ rằng độ dày của sách chỉ bằng một nửa độ dày hiện tại."
tiki-19578956,"Thiếu hàng, đưa kháchnsdt bảo add *** để nhận hàng còn lại"
tiki-4764910,"Sách lỗi sai rất rất nhiều, có nhiều câu trong một đoạn đã có thể tìm ra hơn chục lỗi sai. Thật sự rất thất vọng. Đã mua nhiều ở Tiki và chưa bao giờ thất vọng đến như vậy. Mình gửi feedback hình, mình vừa nhận được cuốn sách sáng nay và cuốn sách quá tệ. Hy vọng Tiki có những hộ trợ kịp thời và có thể lọc được các gian hàng sách như trên ra. Cảm ơn"
tiki-7871970,"Không đánh giá về nội_dung , sách về tay mình nguyên vẹn, hàng gói không được cẩn thận cho lắm nhưng may mắn là sách đều không sao cả"
tiki-19894822,"Giao hàng nhanh, giấy tạm ổn, chưa xem nội dung nên chưa biết"
tiki-7050771,Giá khá mắc
tiki-2610926,bình thường. không đặc sắc. không có thông tin hữu ích để người đọc
